X,Y,Z,Cp
3.042074501263713842e+02,0.000000000000000000e+00,-3.796318036682877306e+01,-2.825845344922263691e-01
3.048198209938134369e+02,0.000000000000000000e+00,-3.825198333750041968e+01,-2.901746705614980382e-01
3.050246642380136564e+02,0.000000000000000000e+00,-3.834864231073743213e+01,-2.927707004130897794e-01
7.154700620419858215e-01,9.090909090909091717e+00,-5.000000000000000000e+01,1.000000000000000000e+00
9.470078629994036490e-01,9.090909090909091717e+00,-4.942008525020118270e+01,9.653688300848666248e-01
1.595531306707636432e+00,9.090909090909091717e+00,-4.887566506906447472e+01,8.628513323454989337e-01
2.648029693671139384e+00,9.090909090909091717e+00,-4.836356157517063536e+01,6.963919627325665385e-01
4.094077967182526478e+00,9.090909090909091717e+00,-4.786937560340652453e+01,4.706204958744807931e-01
5.926557683005573729e+00,9.090909090909091717e+00,-4.736764860389824605e+01,1.906354669357439580e-01
8.141645091928806366e+00,9.090909090909091717e+00,-4.682229292229447992e+01,-1.380605518960320854e-01
1.073794103386070020e+01,9.090909090909091717e+00,-4.618739572038124663e+01,-5.094754961303726848e-01
1.371477780787727241e+01,9.090909090909091717e+00,-4.540858787936199548e+01,-9.169393142899415761e-01
1.706996312740815824e+01,9.090909090909091717e+00,-4.442517688699777523e+01,-1.352902872238720633e+00
2.079743538436282080e+01,9.090909090909091717e+00,-4.317313402012874235e+01,-1.808835756082890267e+00
2.488606070796184611e+01,9.090909090909091717e+00,-4.159075102644832356e+01,-2.275396709440245857e+00
2.933982758813528591e+01,9.090909090909091717e+00,-3.967607767772958027e+01,-2.745072241292177306e+00
3.416284606496349596e+01,9.090909090909091717e+00,-3.742726097073612834e+01,-3.209944721403387824e+00
3.935164314612160297e+01,9.090909090909091717e+00,-3.483571833965746833e+01,-3.661110932416185904e+00
4.490029122868389067e+01,9.090909090909091717e+00,-3.190765346402177727e+01,-4.089607269252746313e+00
5.080037731933339273e+01,9.090909090909091717e+00,-2.866626455401753759e+01,-4.486646025086662881e+00
5.704124702772690370e+01,9.090909090909091717e+00,-2.515342445189947895e+01,-4.843868665060495182e+00
6.370211473364039989e+01,9.090909090909091717e+00,-2.159889508800310409e+01,-5.157771915723886380e+00
7.059431736769198551e+01,9.090909090909091717e+00,-1.776632105126798677e+01,-5.412475921391587619e+00
7.778427559057520568e+01,9.090909090909091717e+00,-1.390840040957027668e+01,-5.606878087310741776e+00
8.526218849392731158e+01,9.090909090909091717e+00,-1.014487815127976233e+01,-5.736510829305209391e+00
9.302909734005862674e+01,9.090909090909091717e+00,-6.629677784555944697e+00,-5.797989655151201127e+00
1.010507967188494973e+02,9.090909090909091717e+00,-3.586971182517871171e+00,-5.788824078745917312e+00
1.092982497996080298e+02,9.090909090909091717e+00,-1.145530021844876956e+00,-5.708474672031083941e+00
1.177675157211436101e+02,9.090909090909091717e+00,5.050929822125809210e-01,-5.557696913138362227e+00
1.263733783774780619e+02,9.090909090909091717e+00,1.152925338874233319e+00,-5.340617622875377002e+00
1.347713385922353098e+02,9.090909090909091717e+00,7.734766129754078179e-01,-5.073745704512224286e+00
1.429252027332636032e+02,9.090909090909091717e+00,1.472800420540707478e-01,-4.770315999620820868e+00
1.510649147603652409e+02,9.090909090909091717e+00,-5.986300098120835855e-01,-4.431032787031995213e+00
1.592070867672712779e+02,9.090909090909091717e+00,-1.463210108299954015e+00,-4.062267198949379932e+00
1.673282838588805532e+02,9.090909090909091717e+00,-2.442246563419331551e+00,-3.672151325824949186e+00
1.754052525427178182e+02,9.090909090909091717e+00,-3.530422495393665372e+00,-3.268977972640640051e+00
1.834149826282810807e+02,9.090909090909091717e+00,-4.721359942748691196e+00,-2.860994916069558691e+00
1.913347675608959833e+02,9.090909090909091717e+00,-6.007669238459122596e+00,-2.456205840677601504e+00
1.991422634719261566e+02,9.090909090909091717e+00,-7.381005686869571036e+00,-2.062182809393838578e+00
2.068155471084800752e+02,9.090909090909091717e+00,-8.832133613467156863e+00,-1.685894745183366350e+00
2.143331726768824694e+02,9.090909090909091717e+00,-1.035099784150523305e+01,-1.333555926843178474e+00
2.217006517130484156e+02,9.090909090909091717e+00,-1.178734681652953498e+01,-1.009590883724448718e+00
2.288426410423527386e+02,9.090909090909091717e+00,-1.342701067833061046e+01,-7.203009903260220170e-01
2.357678107513366683e+02,9.090909090909091717e+00,-1.509921718816656266e+01,-4.679355175658611588e-01
2.424572669652310424e+02,9.090909090909091717e+00,-1.679124795005259330e+01,-2.546716689955301205e-01
2.488928498567712495e+02,9.090909090909091717e+00,-1.849008876071125229e+01,-8.157307365878097016e-02
2.550571748553662417e+02,9.090909090909091717e+00,-2.018254075690692417e+01,5.139329604500358917e-02
2.609336715837837346e+02,9.090909090909091717e+00,-2.185533371966133842e+01,1.453116142750044415e-01
2.665066202980299295e+02,9.090909090909091717e+00,-2.349524088440998781e+01,2.022448766958268584e-01
2.717611856073331751e+02,9.090909090909091717e+00,-2.508919451936271372e+01,2.251381958076337231e-01
2.766834472762408836e+02,9.090909090909091717e+00,-2.662440144114071217e+01,2.177007397195162008e-01
2.812604279567433991e+02,9.090909090909091717e+00,-2.808845754385815852e+01,1.842698387539402627e-01
