X,Y,Z,Cp
1.509299680834810715e+02,8.080808080808081328e+00,-3.305537286818675113e+01,-2.308689092913445595e+00
1.582195991152573527e+02,8.080808080808081328e+00,-3.310371232140911246e+01,-2.133968857974081867e+00
1.654734520862638192e+02,8.080808080808081328e+00,-3.318558674014708032e+01,-1.951664079645978767e+00
1.726713280257281724e+02,8.080808080808081328e+00,-3.330124618709029960e+01,-1.765366627003043476e+00
1.797929831447056870e+02,8.080808080808081328e+00,-3.345002541988126410e+01,-1.578595862102574632e+00
1.868181939342165947e+02,8.080808080808081328e+00,-3.363042909099158351e+01,-1.394718418970394946e+00
1.937268208176974724e+02,8.080808080808081328e+00,-3.384023160830236776e+01,-1.216872692412858337e+00
2.004235988482313076e+02,8.080808080808081328e+00,-3.455934689690877804e+01,-1.049431196176077830e+00
2.070455979623914402e+02,8.080808080808081328e+00,-3.475561474177673915e+01,-8.916269871504970412e-01
2.134923420860461079e+02,8.080808080808081328e+00,-3.497450754828393826e+01,-7.472374071789891214e-01
2.197443561305347544e+02,8.080808080808081328e+00,-3.521287070425560017e+01,-6.179074362877976512e-01
2.257825625001548531e+02,8.080808080808081328e+00,-3.546718419716839321e+01,-5.048077495437012230e-01
2.315883524307568848e+02,8.080808080808081328e+00,-3.573366335942134953e+01,-4.086206900714841606e-01
2.371436564621254490e+02,8.080808080808081328e+00,-3.600835712949563572e+01,-3.295401984367545278e-01
2.424310143150117653e+02,8.080808080808081328e+00,-3.628724108099120826e+01,-2.672857325729089961e-01
2.474336444390483223e+02,8.080808080808081328e+00,-3.656630292932322845e+01,-2.211298090528606708e-01
2.521355134267994345e+02,8.080808080808081328e+00,-3.684161874954874349e+01,-1.899383975824433246e-01
2.565214053607298865e+02,8.080808080808081328e+00,-3.710941869993601472e+01,-1.722230145890597808e-01
2.605769909869708840e+02,8.080808080808081328e+00,-3.736614161596829575e+01,-1.662029975006150684e-01
2.642888964085101975e+02,8.080808080808081328e+00,-3.760847839116396329e+01,-1.698761083648478998e-01
2.676447707786228420e+02,8.080808080808081328e+00,-3.783340456939891538e+01,-1.810953244728186196e-01
2.706333522710920079e+02,8.080808080808081328e+00,-3.803820301660884695e+01,-1.976494361323827276e-01
2.732445314242198720e+02,8.080808080808081328e+00,-3.822047790015211888e+01,-2.173448995753129998e-01
2.752928333774648308e+02,8.080808080808081328e+00,-3.909072385803852967e+01,-2.364939248429908381e-01
2.769693525006180721e+02,8.080808080808081328e+00,-3.983389235849823251e+01,-2.545681320800673997e-01
2.782773537214390558e+02,8.080808080808081328e+00,-4.041647418762619282e+01,-2.701932084608785756e-01
2.792138077477630986e+02,8.080808080808081328e+00,-4.083506032388456219e+01,-2.822114457285701539e-01
2.797765477529557643e+02,8.080808080808081328e+00,-4.108719805851741569e+01,-2.897705161553784659e-01
